10	5	1.00	0	25	rm	17.096413576875
10	5	1.00	0	48	add	19.709720957882
10	5	1.00	1	17	rm	16.338652395071
10	5	1.00	1	34	add	18.502962143359
10	5	1.00	2	27	rm	17.048348888256
10	5	1.00	2	46	add	19.639486282688
10	5	0.28	0	25	rm	7.368231923295
10	5	0.28	0	48	add	8.452113762515
10	5	0.28	1	17	rm	7.091912745188
10	5	0.28	1	34	add	8.042672684848
10	5	0.28	2	27	rm	7.339099445572
10	5	0.28	2	46	add	8.417332690666
10	6	1.00	0	25	rm	21.561622359259
10	6	1.00	0	48	add	24.290103909836
10	6	1.00	1	37	rm	22.235650408922
10	6	1.00	1	62	add	25.033966737681
10	6	1.00	2	27	rm	21.472708770300
10	6	1.00	2	46	add	24.158748061179
11	5	0.10	0	25	rm	3.755764052192
11	5	0.10	0	48	add	4.251666838529
11	5	0.10	1	17	rm	3.684739441636
11	5	0.10	1	34	add	4.184113898179
11	5	0.10	2	27	rm	3.742376690348
11	5	0.10	2	46	add	4.242369129126
11	5	1.00	0	25	rm	16.878702132693
11	5	1.00	0	48	add	19.086734509457
11	5	1.00	1	17	rm	16.217815515102
11	5	1.00	1	34	add	18.373116916801
11	5	1.00	2	27	rm	16.852926207224
11	5	1.00	2	46	add	19.045932468201
11	5	0.28	0	25	rm	7.136575040188
11	5	0.28	0	48	add	8.061766336025
11	5	0.28	1	17	rm	6.971032049307
11	5	0.28	1	34	add	7.868842612533
11	5	0.28	2	27	rm	7.124536725593
11	5	0.28	2	46	add	8.043440038676
11	6	1.00	0	25	rm	21.074008418915
11	6	1.00	0	48	add	23.426982743651
11	6	1.00	1	37	rm	21.938269269184
11	6	1.00	1	62	add	24.772436726803
11	6	1.00	2	27	rm	21.027495184922
11	6	1.00	2	46	add	23.334355734116
11	7	1.00	0	49	rm	27.831288133063
11	7	1.00	0	80	add	30.825621116475
11	7	1.00	1	37	rm	27.076602377155
11	7	1.00	1	62	add	30.020416696203
11	7	1.00	2	51	rm	27.722265946091
11	7	1.00	2	78	add	30.738932393607
12	5	1.00	0	25	rm	16.839713276719
12	5	1.00	0	48	add	19.066175493070
12	5	1.00	1	17	rm	16.165141164944
12	5	1.00	1	34	add	18.203596007484
12	5	1.00	2	27	rm	16.812351475599
12	5	1.00	2	46	add	19.023127848234
12	5	0.28	0	25	rm	7.050393805585
12	5	0.28	0	48	add	7.992494277518
12	5	0.28	1	17	rm	6.851318059442
12	5	0.28	1	34	add	7.683058379572
12	5	0.28	2	27	rm	7.044131875433
12	5	0.28	2	46	add	7.969614138465
12	6	1.00	0	25	rm	20.868092546213
12	6	1.00	0	48	add	23.156663132061
12	6	1.00	1	37	rm	21.507350453138
12	6	1.00	1	62	add	23.850342524272
12	6	1.00	2	27	rm	20.844169417896
12	6	1.00	2	46	add	23.090201241775
12	6	0.28	0	25	rm	9.177620779043
12	6	0.28	0	48	add	10.164138304540
12	6	0.28	1	37	rm	9.367168053568
12	6	0.28	1	62	add	10.353300527858
12	6	0.28	2	27	rm	9.152653606323
12	6	0.28	2	46	add	10.134002055704
13	5	0.10	0	25	rm	3.572417389269
13	5	0.10	0	48	add	4.022765875523
13	5	0.10	1	17	rm	3.509268344529
13	5	0.10	1	34	add	3.955555804291
13	5	0.10	2	27	rm	3.567966129661
13	5	0.10	2	46	add	4.012619942103
13	5	1.00	0	25	rm	16.797696177908
13	5	1.00	0	48	add	18.863334567821
13	5	1.00	1	17	rm	16.127160480616
13	5	1.00	1	34	add	18.176347895019
13	5	1.00	2	27	rm	16.766389943685
13	5	1.00	2	46	add	18.831689686806

13	5	0.28	0	25	rm	6.954550280357
13	5	0.28	0	48	add	7.783055899033
13	5	0.28	1	17	rm	6.783861975341
13	5	0.28	1	34	add	7.604709967520
13	5	0.28	2	27	rm	6.944854674448
13	5	0.28	2	46	add	7.765240046255
13	6	1.00	0	25	rm	20.716478321867
13	6	1.00	0	48	add	22.805473075113
13	6	1.00	1	37	rm	21.406267330523
13	6	1.00	1	62	add	23.776245106528
13	6	1.00	2	27	rm	20.696051447118
13	6	1.00	2	46	add	22.747295402075
13	7	1.00	0	49	rm	26.589830304715
13	7	1.00	0	80	add	29.105625477488
13	7	1.00	1	37	rm	25.924996943638
13	7	1.00	1	62	add	28.377197936477
13	7	1.00	2	51	rm	26.551328415883
13	7	1.00	2	78	add	29.061865325721
14	5	0.10	0	25	rm	3.516988265465
14	5	0.10	0	48	add	3.976033323290
14	5	0.10	1	17	rm	3.442658840650
14	5	0.10	1	34	add	3.875450807325
14	5	0.10	2	27	rm	3.515918355078
14	5	0.10	2	46	add	3.965696166336
14	5	1.00	0	25	rm	16.790413533700
14	5	1.00	0	48	add	18.861493044105
14	5	1.00	1	17	rm	16.120218092469
14	5	1.00	1	34	add	18.147400884297
14	5	1.00	2	27	rm	16.759416972581
14	5	1.00	2	46	add	18.830381978619
14	5	0.28	0	25	rm	6.912707553141
14	5	0.28	0	48	add	7.754465038534
14	5	0.28	1	17	rm	6.735337723963
14	5	0.28	1	34	add	7.516660021586
14	5	0.28	2	27	rm	6.905459825268
14	5	0.28	2	46	add	7.738571320124
14	6	0.10	0	25	rm	4.676908481284
14	6	0.10	0	48	add	5.175753398242
14	6	0.10	1	37	rm	4.745354496749
14	6	0.10	1	62	add	5.232296841234
14	6	0.10	2	27	rm	4.666212117940
14	6	0.10	2	46	add	5.155564053406
14	6	1.00	0	25	rm	20.633864926530
14	6	1.00	0	48	add	22.720803657062
14	6	1.00	1	37	rm	21.265176481973
14	6	1.00	1	62	add	23.371545442754
