    8    2    2    1    1.00     20.233839228      6.367229272     26.601068499      0.976568266
    8    2    0    1    1.00     20.233839228     -4.718597046     15.515242182      0.849856583
    8    2    1    1    1.00     20.233839228     -5.233381353     15.000457875      0.978367818
    8    2    2    1    1.00     20.233839228     -4.629780042     15.604059185      0.000000000
    8    3    0    1    1.00     65.970931567     10.478577434     76.449509001      0.000000000
    8    3    1    1    1.00     65.970931567      9.942862085     75.913793652      0.969466144
    8    3    2    1    1.00     65.970931567     10.481265582     76.452197149      0.000000000
    8    3    0    1    1.00     65.970931567     -8.874737062     57.096194505      0.974961088
    8    3    1    1    1.00     65.970931567     -8.331874875     57.639056692      0.872971173
    8    3    2    1    1.00     65.970931567     -8.826506190     57.144425377      0.973032479
    8    4    0    1    1.00    157.035289355     14.176090654    171.211380009      0.965627269
    8    4    1    1    1.00    157.035289355     14.728361406    171.763650761      0.000000002
    8    4    2    1    1.00    157.035289355     14.082336661    171.117626016      0.969169673
    8    4    0    1    1.00    157.035289355    -12.404276890    144.631012465      0.908215031
    8    4    1    1    1.00    157.035289355    -12.919496414    144.115792941      0.972606893
    8    4    2    1    1.00    157.035289355    -12.363657834    144.671631521      0.905293294
    8    5    0    1    1.00    316.936396813     18.926913168    335.863309982      0.000000000
    8    5    1    1    1.00    316.936396813     19.267494165    336.203890979      0.974961118
    8    5    2    1    1.00    316.936396813     18.969717501    335.906114314      0.000000000
    8    5    0    1    1.00    316.936396813    -18.125052252    298.811344561      0.975795618
    8    5    1    1    1.00    316.936396813    -17.390856233    299.545540580      0.000000007
    8    5    2    1    1.00    316.936396813    -18.052522604    298.883874210      0.976341794
    9    1    0    1    1.00      3.007929461      3.760474948      6.768404410      0.000000000
    9    1    1    1    1.00      3.007929461      3.376001838      6.383931299      0.982153794
    9    1    2    1    1.00      3.007929461      4.007362052      7.015291513      0.664070310
    9    1    0    1    1.00      3.007929461      5.991575121      8.999504582      0.000084490
    9    1    1    1    1.00      3.007929461      4.991443692      7.999373153      0.000000000
    9    1    2    1    1.00      3.007929461      1.990611949      4.998541410      0.000000000
    9    2    0    1    1.00     20.223511737      6.451536302     26.675048039      0.972049364
    9    2    1    1    1.00     20.223511737      6.945849716     27.169361454      0.000000000
    9    2    2    1    1.00     20.223511737      6.363957737     26.587469474      0.976873555
    9    2    0    1    1.00     20.223511737     -4.713781083     15.509730654      0.851149321
    9    2    1    1    1.00     20.223511737     -5.229822702     14.993689035      0.978655487
    9    2    2    1    1.00     20.223511737     -4.623805573     15.599706164      0.000000000
    9    3    0    1    1.00     65.919974220     10.483823936     76.403798156      0.000000000
    9    3    1    1    1.00     65.919974220      9.930065544     75.850039764      0.969328704
    9    3    2    1    1.00     65.919974220     10.483711086     76.403685306      0.000000000
    9    3    0    1    1.00     65.919974220     -8.859989773     57.059984447      0.974976480
    9    3    1    1    1.00     65.919974220     -8.314693540     57.605280681      0.875636583
