20	0	14	0.025	5.13632
20	0	14	0.05	7.48941
20	0	14	0.075	9.243
20	0	14	0.1	10.6125
20	0	14	0.125	11.6829
20	0	14	0.15	12.5035
20	0	14	0.175	13.1086
20	0	14	0.2	13.5249
20	0	14	0.225	13.7734
20	0	14	0.25	13.8715
20	0	14	0.275	13.8337
20	0	14	0.3	13.6725
20	0	14	0.325	13.3986
20	0	14	0.35	13.0215
20	0	54	0.025	4.83861
20	0	54	0.05	6.90168
20	0	54	0.075	8.30779
20	0	54	0.1	9.36534
20	0	54	0.125	10.1889
20	0	54	0.15	10.8332
20	0	54	0.175	11.3295
20	0	54	0.2	11.6986
20	0	54	0.225	11.9553
20	0	54	0.25	12.1112
20	0	54	0.275	12.1756
20	0	54	0.3	12.1561
20	0	54	0.325	12.0593
20	0	54	0.35	11.8909
20	0	114	0.025	5.41618
20	0	114	0.05	7.94508
20	0	114	0.075	9.77175
20	0	114	0.1	11.1703
20	0	114	0.125	12.2702
20	0	114	0.15	13.1449
20	0	114	0.175	13.8398
20	0	114	0.2	14.3856
20	0	114	0.225	14.804
20	0	114	0.25	15.111
20	0	114	0.275	15.3191
20	0	114	0.3	15.4383
20	0	114	0.325	15.4768
20	0	114	0.35	15.4415
20	0	186	0.025	5.24528
20	0	186	0.05	7.61954
20	0	186	0.075	9.37746
20	0	186	0.1	10.7407
20	0	186	0.125	11.8144
20	0	186	0.15	12.6625
20	0	186	0.175	13.3274
20	0	186	0.2	13.8391
20	0	186	0.225	14.2196
20	0	186	0.25	14.4858
20	0	186	0.275	14.6507
20	0	186	0.3	14.725
20	0	186	0.325	14.7172
20	0	186	0.35	14.6345
20	0	294	0.025	5.41915
20	0	294	0.05	7.8203
20	0	294	0.075	9.62855
20	0	294	0.1	11.0623
20	0	294	0.125	12.2153
20	0	294	0.15	13.1436
20	0	294	0.175	13.8853
20	0	294	0.2	14.4685
20	0	294	0.225	14.9145
20	0	294	0.25	15.2402
20	0	294	0.275	15.4589
20	0	294	0.3	15.5819
20	0	294	0.325	15.6183
20	0	294	0.35	15.576
20	0	358	0.025	5.39432
20	0	358	0.05	7.74482
20	0	358	0.075	9.51531
20	0	358	0.1	10.9242
20	0	358	0.125	12.0621
20	0	358	0.15	12.9816
20	0	358	0.175	13.7186
20	0	358	0.2	14.2995
20	0	358	0.225	14.7445
20	0	358	0.25	15.0698
20	0	358	0.275	15.2882
20	0	358	0.3	15.4107
20	0	358	0.325	15.4462
20	0	358	0.35	15.4024
